X,Y,OBJECTID,EGIS_ID,REG_ID,BSTP_GEO_ID,BSTP_OPS_TCD,BSTP_EFF_DATE,BSTP_TCD,AT_STR,ON_STR,BSTP_HDG,BSTP_POS_TCD,BSTP_LDC,BSTP_MSG_TEXT,BSTP_LAT_LON_TCD,BSTP_INV_SYR_TCD,BSTP_INV_SRV_DATE,BSTP_BNH_CNT,BSTP_BST_TCD,BSTP_IFC_OWN,BSTP_HAS_BKRS,BSTP_HAS_PRS,BSTP_HAS_PVM,BSTP_HAS_PRM,BSTP_PDP_SIZE_TCD,BSTP_PDP_MTR_TCD,BSTP_PDP_OBS_TCD,BSTP_PDP_HAS_CCN,BSTP_HAS_BDR_PDP,BSTP_BDR_PDP_OBS,BSTP_SWK_WDT,BSTP_SWK_HAS_CCN,BSTP_SWK_HAS_PPC,BSTP_SWK_SLP_WVL,BSTP_SWK_OBS_TCD,BSTP_SWK_IPD_TCD,ONS_CRP_SLP,ONS_CRP,OFS_CRP,AT_STR_ABS_CRP,AT_STR_OSS_CRP,ONS_CWK,OFS_CWK,AT_STR_ABS_CWK,AT_STR_OSS_CWK,ON_STR_STS_OR_TFL,ON_STR_PDC_SGL,AT_STR_PDC_SGL,BSTP_PRK_RST_TCD,BSTP_NPK_ZNE_LTH,CNF_NPK_SNS,STR_LGT_WTN_30_FT,BSTP_HAS_LED_DSP,BSTP_ACC_RATING,BSTP_BRDG_STP,BSTP_HAS_LUM_SIGN,BSTP_HAS_PWR_SRC,METRO_ACCS_STP,BSTP_LON,BSTP_LAT,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-77.0666243160225,39.1524158348381,11,1309160,2000984,11545,PRS,1975/03/21 00:00:00+00,REV,OLNEY SANDY SPRING RD,GEORGIA AVE,359,NEA,45' N OF EXIT FROM SANDY SPRING BANK,GEORGIA AVE + OLNEY SANDY SPRING RD,,KFH,2012/02/06 00:00:00+00,0,UNK,NAPP,N,N,N,N,58U,CON,NON,Y,Y,N,9,Y,Y,Y,NON,NON,0.5,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NSG,150,N,Y,N,Y,U,U,U,U,-77.066622,39.152408,BusStopPt_2557,,{5636B1D1-916D-4C5F-B36D-DF965504A0E8},,,,
-77.0648753149186,39.1520458356469,12,1309411,2001367,15523,PRS,1980/10/30 00:00:00+00,REV,VILLAGE CENTER DR,OLNEY SANDY SPRING RD,123,NEX,UNKNOWN,OLNEY SANDY SPRING RD + VILLAGE CENTER DR,,WSV,2018/09/10 09:47:26+00,1,FRE,WMAT,N,Y,N,N,58U,CON,NON,Y,N,E,6,Y,Y,Y,NON,NON,0.69999999,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NSG,150,N,Y,N,Y,U,N,N,U,-77.064873,39.152038,BusStopPt_2059,,{112E6564-D201-447B-9FDC-A97A02AC6B13},,,,
-77.0640563179595,39.1519828345528,13,1309408,2000983,11543,PRS,1980/10/30 00:00:00+00,REV,VILLAGE CENTER DR,OLNEY SANDY SPRING RD,303,NEA,@ BOSTON MARKET,OLNEY SANDY SPRING RD + VILLAGE CENTER DR,,KFH,2012/02/06 00:00:00+00,1,INS,NAPP,N,N,N,N,<58,CON,NON,Y,N,E,5,N,Y,Y,NON,NON,1.29999995,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NSG,150,N,Y,N,N,U,U,U,U,-77.064054,39.151975,BusStopPt_3112,,{23D807FB-C493-4A8B-9A2C-0CAA0DC886ED},,,,
-77.0615053191315,39.1514518355145,14,1309417,2000982,11542,PRS,1989/09/03 00:00:00+00,UNK,OHARA CIR,SPARTAN RD,30,NEA,UNKNOWN,SPARTAN RD + OHARA CIR,,KFH,2012/02/07 00:00:00+00,0,UNK,NAPP,N,N,N,N,58U,CON,NON,Y,N,E,4,N,Y,Y,NON,NON,8,N,Y,Y,Y,N,N,N,Y,N,N,N,NSG,150,N,Y,N,Y,U,U,U,U,-77.061503,39.151444,BusStopPt_6541,,{B1300B04-281E-4F20-9A8A-7890FAA63B8C},,,,
-77.0620133134016,39.1511738372628,15,1309416,2000981,11541,PRS,1901/01/01 00:00:00+00,UNK,OLNEY SANDY SPRING RD,SPARTAN RD,211,NEA,60' N OF -,SPARTAN RD + OLNEY SANDY SPRING RD,,KFH,2012/02/07 00:00:00+00,0,UNK,NAPP,N,N,N,N,58U,CON,NON,Y,N,E,4,Y,Y,Y,NON,NON,6.30000019,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NSG,150,N,Y,N,Y,U,U,U,U,-77.062011,39.151166,BusStopPt_8667,,{3831F62E-B01B-4478-BC57-6ABEEA0EBE1D},,,,
-77.05746631163,39.1507658367009,16,1309334,2001072,12954,PRS,1993/09/05 00:00:00+00,UNK,OLNEY SANDY SPRING RD,PRINCE PHILIP DR,203,NEA,100' N OF PRIVATE DRIVEWAY,PRINCE PHILIP DR + OLNEY SANDY SPRING RD,,KFH,2012/02/07 00:00:00+00,0,UNK,NAPP,N,N,N,N,58U,CON,NON,N,N,E,4,N,Y,Y,NON,NON,5.0999999,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NSG,25,N,Y,N,N,U,U,U,U,-77.057464,39.150758,BusStopPt_8087,,{41A1E981-B6FC-437A-AE70-F686E716488A},,,,
-77.0573363176981,39.150657832917,17,1309333,2001070,12952,PRS,1993/09/05 00:00:00+00,UNK,OLNEY SANDY SPRING RD,PRINCE PHILIP DR,21,FAR,60' N OF #17905,PRINCE PHILIP DR + OLNEY SANDY SPRING RD,,KFH,2012/02/07 00:00:00+00,0,UNK,NAPP,N,N,N,N,NON,EXM,NON,U,N,E,0,N,N,N,NON,NON,3.4000001,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,YUN,,N,Y,N,N,U,U,U,U,-77.057334,39.15065,BusStopPt_7142,,{97E9EFA0-5070-448E-A0C6-CF801232C8DD},,,,
-77.0604463190157,39.1504328394417,18,1309413,2001434,15593,PRS,1985/11/12 00:00:00+00,UNK,SPARTAN RD,OLNEY SANDY SPRING RD,290,FAR,100' W OF DRWY TO OLNEY PROFESSIONAL PK,OLNEY SANDY SPRING RD + SPARTAN RD,,KFH,2012/02/07 00:00:00+00,0,UNK,WMAT,N,Y,Y,Y,58U,CON,NON,Y,N,E,8,N,Y,Y,NON,NON,6.4000001,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NSG,150,N,Y,N,Y,U,U,U,U,-77.060444,39.150425,BusStopPt_7577,,{2CF73867-A98A-4C3C-A8D1-3CE65596183E},,,,
-77.0611263219484,39.1503248337882,19,1309409,2001069,12950,PRS,1978/10/18 00:00:00+00,UNK,SPARTAN RD,OLNEY SANDY SPRING RD,111,FAR,@ 2ND WOODEN UTILITY POLE E OF -,OLNEY SANDY SPRING RD + SPARTAN RD,,KFH,2012/02/07 00:00:00+00,0,UNK,WMAT,N,Y,N,Y,58U,CON,NON,Y,N,E,8,N,Y,Y,NON,NON,5.30000019,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NSG,150,N,N,N,Y,U,U,U,U,-77.061124,39.150317,BusStopPt_1281,,{0C2DC2C2-FD0C-4599-A7E9-1289A90CBBCA},,,,
-77.0666503169336,39.1501758329114,20,1309159,2000980,11540,PRS,1980/10/30 00:00:00+00,REV,SPARTAN RD,GEORGIA AVE,3,NEA,UNKNOWN,GEORGIA AVE + SPARTAN RD,,KFH,2012/02/06 00:00:00+00,0,UNK,NAPP,N,N,N,N,58U,CON,NON,Y,Y,N,8,Y,Y,Y,NON,NON,3.5999999,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,NSG,150,N,Y,N,Y,U,U,U,U,-77.066648,39.150168,BusStopPt_6715,,{4CA13B94-9EF4-46D4-A54A-DB488635C49E},,,,
