OBJECTID,stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5303,900011,900011,N MAIN ST @ PINE GROVE DR,,,,,,,
5304,900012,900012,WINDWARD PKWY @ DEERFIELD PKWY,,,,,,,
5305,900013,900013,WINDWARD PKWY @ 5532,,,,,,,
5306,900014,900014,WINDWARD PKWY @ NORTH POINT PKWY,,,,,,,
5309,900018,900018,N MAIN ST @ CUMMING ST,,,,,,,
6013,901233,901233,NORTH POINT PKWY@EXECUTIVE DRIVE,,,,,,,
6015,901235,901235,NORTH POINT PKWY @ OLD MILTON PKWY,,,,,,,
6908,902630,902630,N MAIN ST @ 379,,,,,,,
6909,902631,902631,N MAIN ST @ 301,,,,,,,
6910,902632,902632,N MAIN ST @ WINTHROPE PARK DR,,,,,,,
6915,902637,902637,OLD MILTON PKWY @ 3502,,,,,,,
6916,902638,902638,NORTH POINT PKY@500,,,,,,,
6917,902639,902639,WINDWARD PKWY @ WESTSIDE PKWY,,,,,,,
6918,902641,902641,WINDWARD PARK & RIDE,,,,,,,
6919,902643,902643,MORRIS RD @ 12395,,,,,,,
6920,902644,902644,WINDWARD PKWY @ 5555,,,,,,,
6922,902649,902649,DEERFIELD PKWY @ WEBB RD,,,,,,,
6923,902650,902650,MORRIS RD @ ONE VERIZON PL,,,,,,,
6925,902653,902653,HAYNES BRIDGE RD @ WESTSIDE PKWY,,,,,,,
6964,902705,902705,S MAIN ST @ MAXWELL RD,,,,,,,
6965,902706,902706,S MAIN ST @ JANIS LN,,,,,,,
6966,902707,902707,HAYNES BRIDGE RD@11385,,,,,,,
6967,902708,902708,HAYNES BRIDGE RD @ RAINWATER DR,,,,,,,
6968,902709,902709,HAYNES BRIDGE RD @ WOODHAVEN WAY,,,,,,,
6969,902710,902710,HAYNES BRIDGE RD @ MORRISON PKWY,,,,,,,
6970,902711,902711,ALPHARETTA HWY @ ROSEMONT PKY,,,,,,,
7009,902766,902766,ALPHARETTA HWY@SUN VALLEY DR,,,,,,,
7010,902767,902767,ALPHARETTA HWY@ROSEMONT PKY,,,,,,,
7011,902768,902768,ALPHARETTA HWY@HEMBREE RD,,,,,,,
7012,902769,902769,ALPHARETTA HWY@HOSPITAL BLVD,,,,,,,
7013,902770,902770,ALPHARETTA HWY@NORTHMEADOW PKWY,,,,,,,
7014,902772,902772,ALPHARETTA HWY @ ELKINS RD,,,,,,,
7015,902773,902773,ALPHARETTA HWY@MANSELL PL,,,,,,,
7016,902774,902774,ALPHARETTA HWY @ GREENHOUSE DR,,,,,,,
7017,902775,902775,ACADEMY ST @ HAYNES BRIDGE RD,,,,,,,
7018,902776,902776,HAYNES BRIDGE RD@ROCK MILL RD,,,,,,,
7019,902777,902777,HAYNES BRIDGE RD @ NORTHWINDS PKWY,,,,,,,
7020,902780,902780,NORTH POINT PKWY @ 5055,,,,,,,
7032,902796,902796,NORTH POINT PKY@960,,,,,,,
7033,902797,902797,NORTH POINT PKY@300,,,,,,,
7034,902798,902798,NORTH POINT PKY @ 960,,,,,,,
7035,902799,902799,NORTH POINT PKY @ WEBB BRIDGE RD,,,,,,,
7049,902817,902817,HAYNES BRIDGE RD @ LAKEVIEW PKWY,,,,,,,
7052,902821,902821,NORTH POINT PKY@GEORGIA LANE,,,,,,,
7053,902822,902822,NORTH POINT PKWY @ GEORGIA LN,,,,,,,
7063,902838,902838,WINDWARD PKWY @ NORTH POINT PKWY,,,,,,,
7065,902840,902840,NORTH POINT PKY@900,,,,,,,
7069,902846,902846,HAYNES BRIDGE RD@NORTH POINT DR,,,,,,,
7070,902847,902847,NORTH POINT PKY@ KIMBALL BRIDGE RD,,,,,,,
7104,902900,902900,OLD MILTON PKWY @ CAMDEN WAY,,,,,,,
7106,902903,902903,N MAIN ST @ 684,,,,,,,
7107,902904,902904,N MAIN ST @ WATER OAK PL,,,,,,,
7108,902905,902905,DEERFIELD PKWY @ MORRIS RD,,,,,,,
7114,902917,902917,NORTH POINT PKY@ROYAL BLVD S,,,,,,,
7115,902918,902918,NORTH POINT PKY @ 4000,,,,,,,
7116,902919,902919,NORTH POINT PKY@PRESTON RIDGE RD,,,,,,,
7117,902920,902920,NORTH POINT PKY @ 3180,,,,,,,
7118,902921,902921,NORTH POINT PKY @ 4125,,,,,,,
7119,902922,902922,NORTH POINT PKY @ OLD MILTON PKY,,,,,,,
7125,902928,902928,HAYNES BRIDGE RD @ NORTH POINT PKWY,,,,,,,
7137,902948,902948,NORTH POINT PKWY @ MILL CREEK AVE,,,,,,,
7138,902949,902949,NORTH POINT PKY @ NORTH POINT DR,,,,,,,
7139,902950,902950,NORTH POINT PKY@ROCK MILL RD,,,,,,,
7140,902951,902951,NORTH POINT PKY@ROCK MILL RD,,,,,,,
7141,902953,902953,NORTH POINT PKY @ 3980,,,,,,,
7142,902954,902954,NORTH POINT PKY@3180,,,,,,,
7143,902955,902955,NORTH POINT PKY @ PRESTON RIDGE RD,,,,,,,
7156,902976,902976,WINDWARD PKWY @ JORDAN CT,,,,,,,
7157,902977,902977,SR 9 @ WINDWARD PKWY,,,,,,,
7158,902978,902978,N MAIN ST @ COGBURN RD,,,,,,,
7159,902979,902979,DEERFIELD PKWY @ TWO VERIZON PL,,,,,,,
7160,902980,902980,DEERFIELD PKWY @ THREE VERIZON PL,,,,,,,
7161,902981,902981,N MAIN ST @ WINDWARD PKY W,,,,,,,
7162,902982,902982,OLD MILTON PKY @ BRIDGE POINTE DR,,,,,,,
7198,903045,903045,N MAIN ST @ HENDERSON PKWY,,,,,,,
7199,903046,903046,N MAIN ST @ CANTON ST,,,,,,,
7223,903083,903083,OLD MILTON PKWY @ BROOKSIDE PKY,,,,,,,
7224,903084,903084,BROOKSIDE PKWY @ 3705,,,,,,,
7225,903085,903085,BROOKSIDE PKWY @ 3775,,,,,,,
7240,903114,903114,HAYNES BRIDGE RD @ NORTH POINT DR,,,,,,,
7279,903185,903185,OLD MILTON PKWY @ ROCKBERRY LN,,,,,,,
7280,903186,903186,OLD MILTON PKWY @ COTTON CREEK ENTRY,,,,,,,
7283,903190,903190,HAYNES BRIDGE RD @ DEVORE RD,,,,,,,
7284,903191,903191,HAYNES BRIDGE RD@11770,,,,,,,
7285,903192,903192,HAYNES BRIDGE RD @ DEVORE RD,,,,,,,
7296,903217,903217,MORRIS RD @ WEBB RD,,,,,,,
7297,903218,903218,MORRIS RD@13010,,,,,,,
7298,903219,903219,OLD MILTON PKWY @ PARK BRIDGE PKWY,,,,,,,
7299,903220,903220,WINDWARD PKWY @ N MAIN ST,,,,,,,
8743,905753,905753,OLD MILTON PKWY @ HAYNES BRIDGE RD,,,,,,,
9083,906278,906278,ALPHARETTA HWY@HANEY DR,,,,,,,
9084,906279,906279,ALPHARETTA HWY@WILLS RD,,,,,,,
9085,906281,906281,ALPHARETTA HWY@HANEY DR,,,,,,,
9096,906295,906295,ALPHARETTA HWY @ UPPER HEMBREE RD,,,,,,,
9097,906296,906296,ALPHARETTA HWY@HOSPITAL BLVD,,,,,,,
9112,906312,906312,ALPHARETTA HWY @ HEMBREE RD,,,,,,,
9113,906314,906314,ALPHARETTA HWY@SUN VALLEY DR,,,,,,,
9114,906315,906315,S MAIN ST @ 571,,,,,,,
9115,906318,906318,N MAIN ST @ CUMMING ST,,,,,,,
9116,906320,906320,S MAIN ST @ JANIS LN,,,,,,,
9131,906337,906337,ALPHARETTA HWY@11450,,,,,,,
9132,906338,906338,ALPHARETTA HWY @ GREENHOUSE DR,,,,,,,
9133,906339,906339,ALPHARETTA HWY@MANSELL PL,,,,,,,
9134,906341,906341,MAIN ST@BRADY PL,,,,,,,
9135,906342,906342,MAIN ST@MAXWELL RD,,,,,,,
9170,906734,906734,NORTH POINT PKY @ 4501,,,,,,,
9171,906745,906745,DEERFIELD PKWY @ MORRIS RD,,,,,,,
9172,906797,906797,NORTH POINT PKY@WINDWARD PKY,,,,,,,
18340,100004,100004,JOSEPH E LOWERY BLVD@BECKWITH ST SW,,,,,,,
18341,100006,100006,JOSEPH E LOWERY BLVD@PARSONS ST SW,,,,,,,
18342,100008,100008,JOSEPH E LOWERY BLVD@ASHBY GRV SW,,,,,,,
18343,100010,100010,JOSEPH E LOWERY BLVD @ FAIR ST SW,,,,,,,
18344,100012,100012,JOSEPH E LOWERY BLVD@WESTVIEW DR SW,,,,,,,
18345,100014,100014,JOSEPH E LOWERY BLVD@SELLS AVE SW,,,,,,,
18346,100016,100016,W END AVE SW @ ASHBY ST SW,,,,,,,
18347,100017,100017,W END AVE SW @ WELLBORN ST SW,,,,,,,
18348,100022,100022,W END AVE SW @ ASHBY ST SW,,,,,,,
18349,100024,100024,JOSEPH E LOWERY BLVD @ ATLANTA STUDENT MOVEMENT BLVD,,,,,,,
18350,100026,100026,JOSEPH E LOWERY BLVD@PARSONS ST SW,,,,,,,
18351,100028,100028,JOSEPH E LOWERY BLVD@BECKWITH ST SW,,,,,,,
18352,100030,100030,ATLANTA STUDENT MOVEMENT BLVD @ EUHRLEE ST SW,,,,,,,
18353,100032,100032,ATLANTA STUDENT MOVEMENT BLVD @ OGDEN ST SW,,,,,,,
18354,100035,100035,FAIR ST SW @ JOSEPH E LOWERY BLVD,,,,,,,
18355,100036,100036,FAIR ST SW @ ABBOTT ST SW,,,,,,,
18356,100038,100038,FAIR ST SW @ AGNES JONES PL SW,,,,,,,
18357,100040,100040,FAIR ST SW @ JOSE ST SW,,,,,,,
18358,100042,100042,FAIR ST SW@LAWTON ST SW,,,,,,,
18359,100043,100043,FAIR ST SW@SAINT JOSE ST SW,,,,,,,
18360,100044,100044,ATLANTA STUDENT MOVEMENT BLVD @ EUHRLEE ST SW,,,,,,,
18361,100045,100045,FAIR ST SW@AGNES JONES PL SW,,,,,,,
18362,100046,100046,JOSEPH E LOWERY BLVD@MITCHELL ST SW,,,,,,,
18363,100048,100048,JOSEPH E LOWERY BLVD @ MARTIN L KING JR DR,,,,,,,
18364,100050,100050,MARTIN LUTHER KING J@CHICAMAUGA AVE,,,,,,,
18365,100052,100052,MARTIN LUTHER KING J DR SW@CERRO ST,,,,,,,
18366,100054,100054,MARTIN LUTHER KING J DR SW@BURBANK,,,,,,,
18367,100058,100058,HOLDERNESS ST SW @ FAIR ST SW,,,,,,,
18368,100060,100060,FAIR ST SW@HOLDERNESS ST SW,,,,,,,
18369,100061,100061,HOLDERNESS ST SW@WESTVIEW DR SW,,,,,,,
18370,100062,100062,HOLDERNESS ST SW@WESTVIEW DR SW,,,,,,,
18371,100063,100063,WESTVIEW DR SW@LANGHORN ST SW,,,,,,,
18372,100066,100066,WESTVIEW DR SW@ATWOOD ST SW,,,,,,,
18373,100067,100067,WESTVIEW DR SW@HOPKINS ST SW,,,,,,,
18374,100069,100069,WESTVIEW DR SW@CHICAMAUGA AVE SW,,,,,,,
18375,100070,100070,WESTVIEW DR SW @ CHICAMAUGA AVE SW,,,,,,,
18376,100074,100074,LUCILE AVE SW @ JOSEPH E LOWERY BLVD,,,,,,,
18377,100076,100076,LUCILE AVE SW @ PEEPLES ST SW,,,,,,,
18378,100078,100078,LUCILE AVE SW @ LAWTON ST SW,,,,,,,
18379,100080,100080,LUCILE AVE SW @ LAWTON ST SW,,,,,,,
18380,100082,100082,LUCILE AVE SW @ DARGAN PL SW,,,,,,,
18381,100084,100084,LUCILE AVE SW @ HOPKINS ST SW,,,,,,,
18382,100086,100086,LUCILE AVE SW @ LANGHORN ST SW,,,,,,,
18383,100088,100088,LUCILE AVE SW @ HOPKINS ST SW,,,,,,,
18384,100090,100090,LUCILE AVE SW @ ATWOOD ST SW,,,,,,,
18385,100092,100092,LUCILE AVE SW @ HOLDERNESS ST SW,,,,,,,
18386,100094,100094,LUCILE AVE SW @ DARGAN PL SW,,,,,,,
18387,100096,100096,LUCILE AVE SW @ LAWTON ST SW,,,,,,,
18388,100098,100098,LUCILE AVE SW @ LAWTON ST SW,,,,,,,
18389,100100,100100,LUCILE AVE SW @ PEEPLES ST SW,,,,,,,
18390,100102,100102,LUCILE AVE SW @ ATWOOD ST SW,,,,,,,
18391,100114,100114,JOSEPH E LOWERY BLVD @ SELLS AVE SW,,,,,,,
18392,100115,100115,JOSEPH E LOWERY BLVD@WESTVIEW DR SW,,,,,,,
18393,100124,100124,MARTIN L KING JR DR NW @ CERRO ST SW,,,,,,,
18394,100126,100126,MARTIN L KING JR DR NW @ BURBANK DR NW,,,,,,,
18395,100128,100128,MARTIN LUTHER KING J@STAFFORD ST,,,,,,,
18396,100130,100130,MARTIN L KING JR DR NW @ STAFFORD ST SW,,,,,,,
18397,100132,100132,MARTIN L KING JR DR @ MORRIS BROWN,,,,,,,
18398,100134,100134,MARTIN L KING JR DR NW @ MORRIS BROWN DR SW,,,,,,,
18399,100136,100136,MARTIN LUTHER KING J@HUNTER PL N,,,,,,,
18400,100137,100137,MARTIN LUTHER KING J DR @ WHITEHOUSE DR,,,,,,,
18401,100138,100138,MARTIN L KING JR DR NW @ HUNTER PL NW,,,,,,,
18402,100142,100142,MARTIN L KING JR DR NW @ BOOKER ST NW,,,,,,,
18403,100148,100148,MARTIN L KING JR DR NW @ CHICAMAUGA AVE NW,,,,,,,
18404,100150,100150,MARTIN L KING JR DR NW @ CHAPPELL RD,,,,,,,
18405,100152,100152,FAIR ST SW @ 1ST ST SW,,,,,,,
18406,100154,100154,FAIR ST@FIRST ST,,,,,,,
18407,100160,100160,FAIR ST SW @ LAWTON ST SW,,,,,,,
18408,100162,100162,FAIR ST@ABBOTT ST,,,,,,,
18409,100164,100164,MARTIN LUTHER KING J DR@OLLIE ST,,,,,,,
18410,100166,100166,LUCILE AVE @ HOLDERNESS ST,,,,,,,
18411,100168,100168,FAIR ST SW @ JOSEPH E LOWERY BLVD,,,,,,,
18412,100170,100170,WESTVIEW DR SW @ WESTVIEW PL,,,,,,,
18413,101002,101002,LEE ST SW @ W END AV SW,,,,,,,
18414,101006,101006,LEE ST SW@NORCROSS ST SW,,,,,,,
18415,101008,101008,W END AVE SW @ WELLBORN ST SW,,,,,,,
18416,101010,101010,PETERS ST SW@HAYNES ST SW,,,,,,,
18417,101016,101016,ATLANTA STUDENT MOVEMENT BLVD @ WALNUT ST SW,,,,,,,
18418,101018,101018,ATLANTA STUDENT MOVEMENT BLVD @ VINE ST SW,,,,,,,
18419,101020,101020,ATLANTA STUDENT MOVEMENT BLVD @ ELM ST SW,,,,,,,
18420,101022,101022,ATLANTA STUDENT MOVEMENT BLVD @ LAWSHE ST SW,,,,,,,
18421,101024,101024,ATLANTA STUDENT MOVEMENT BLVD @ JAMES P BRAWLEY DR SW,,,,,,,
18422,101026,101026,ATLANTA STUDENT MOVEMENT BLVD @ MILTON ST SW,,,,,,,
18423,101030,101030,PETERS ST SW @ FAIR ST SW,,,,,,,
18424,101036,101036,ATLANTA STUDENT MOVEMENT BLVD @ WALNUT ST SW,,,,,,,
18425,101038,101038,ATLANTA STUDENT MOVEMENT BLVD @ VINE ST SW,,,,,,,
18426,101040,101040,ATLANTA STUDENT MOVEMENT BLVD @ ELM ST SW,,,,,,,
18427,101042,101042,ATLANTA STUDENT MOVEMENT BLVD @ JOHN HOPE DR SW,,,,,,,
